Segmentation List:
1: X= 11 | Y= 34 | Pose= Vertical | Length= 759
1023: X= 264 | Y= 602 | Pose= Horizontal | Length= 6
1024: X= 265 | Y= 587 | Pose= Horizontal | Length= 6
1025: X= 265 | Y= 602 | Pose= Vertical | Length= 2
1026: X= 265 | Y= 604 | Pose= Vertical | Length= 2
1027: X= 265 | Y= 607 | Pose= Vertical | Length= 2
1028: X= 266 | Y= 584 | Pose= Vertical | Length= 5
1029: X= 266 | Y= 586 | Pose= Vertical | Length= 2
1030: X= 266 | Y= 587 | Pose= Vertical | Length= 1
1031: X= 266 | Y= 603 | Pose= Vertical | Length= 1
1032: X= 266 | Y= 605 | Pose= Horizontal | Length= 2
1033: X= 267 | Y= 585 | Pose= Vertical | Length= 1
1034: X= 267 | Y= 594 | Pose= Horizontal | Length= 6
1035: X= 268 | Y= 589 | Pose= Horizontal | Length= 6
1036: X= 269 | Y= 589 | Pose= Horizontal | Length= 2
1037: X= 270 | Y= 583 | Pose= Vertical | Length= 5
1038: X= 270 | Y= 585 | Pose= Horizontal | Length= 2
1039: X= 270 | Y= 590 | Pose= Vertical | Length= 3
1040: X= 271 | Y= 586 | Pose= Vertical | Length= 4
1041: X= 271 | Y= 587 | Pose= Vertical | Length= 2
1042: X= 272 | Y= 331 | Pose= Vertical | Length= 6
1043: X= 272 | Y= 589 | Pose= Vertical | Length= 10
1044: X= 274 | Y= 584 | Pose= Vertical | Length= 2
1045: X= 274 | Y= 585 | Pose= Vertical | Length= 1
1046: X= 275 | Y= 335 | Pose= Vertical | Length= 1
1047: X= 275 | Y= 446 | Pose= Horizontal | Length= 3
1048: X= 275 | Y= 588 | Pose= Vertical | Length= 2
1049: X= 276 | Y= 343 | Pose= Horizontal | Length= 4
1050: X= 276 | Y= 444 | Pose= Horizontal | Length= 4
1051: X= 276 | Y= 587 | Pose= Vertical | Length= 1
1052: X= 277 | Y= 332 | Pose= Horizontal | Length= 3
1053: X= 277 | Y= 345 | Pose= Vertical | Length= 4
1054: X= 277 | Y= 346 | Pose= Vertical | Length= 5
1055: X= 277 | Y= 347 | Pose= Vertical | Length= 1
1056: X= 277 | Y= 350 | Pose= Vertical | Length= 10
1057: X= 277 | Y= 585 | Pose= Horizontal | Length= 2
1058: X= 278 | Y= 334 | Pose= Horizontal | Length= 2
1059: X= 278 | Y= 348 | Pose= Vertical | Length= 4
1060: X= 278 | Y= 349 | Pose= Vertical | Length= 1
1061: X= 278 | Y= 584 | Pose= Vertical | Length= 2
1062: X= 279 | Y= 335 | Pose= Vertical | Length= 3
1063: X= 281 | Y= 336 | Pose= Vertical | Length= 5
1064: X= 281 | Y= 347 | Pose= Vertical | Length= 1
1065: X= 281 | Y= 349 | Pose= Vertical | Length= 1
1066: X= 281 | Y= 458 | Pose= Vertical | Length= 2
1067: X= 281 | Y= 459 | Pose= Vertical | Length= 6
1068: X= 281 | Y= 588 | Pose= Vertical | Length= 3
1069: X= 282 | Y= 357 | Pose= Horizontal | Length= 3
1070: X= 282 | Y= 449 | Pose= Horizontal | Length= 9
1071: X= 282 | Y= 578 | Pose= Vertical | Length= 2
1072: X= 282 | Y= 579 | Pose= Vertical | Length= 2
1073: X= 283 | Y= 346 | Pose= Horizontal | Length= 4
1074: X= 283 | Y= 351 | Pose= Vertical | Length= 1
1075: X= 283 | Y= 448 | Pose= Vertical | Length= 2
1076: X= 283 | Y= 449 | Pose= Vertical | Length= 1
1077: X= 283 | Y= 587 | Pose= Vertical | Length= 3
1078: X= 284 | Y= 345 | Pose= Vertical | Length= 4
1079: X= 284 | Y= 346 | Pose= Vertical | Length= 1
1080: X= 284 | Y= 353 | Pose= Vertical | Length= 4
1081: X= 284 | Y= 354 | Pose= Vertical | Length= 4
1082: X= 284 | Y= 434 | Pose= Vertical | Length= 2
1083: X= 284 | Y= 445 | Pose= Vertical | Length= 3
1084: X= 284 | Y= 446 | Pose= Horizontal | Length= 2
1085: X= 284 | Y= 502 | Pose= Vertical | Length= 2
1086: X= 284 | Y= 503 | Pose= Vertical | Length= 2
1087: X= 284 | Y= 577 | Pose= Vertical | Length= 2
1088: X= 285 | Y= 335 | Pose= Vertical | Length= 8
1089: X= 285 | Y= 588 | Pose= Vertical | Length= 4
1090: X= 286 | Y= 351 | Pose= Vertical | Length= 3
1091: X= 286 | Y= 352 | Pose= Vertical | Length= 2
1092: X= 286 | Y= 355 | Pose= Vertical | Length= 2
1093: X= 286 | Y= 356 | Pose= Vertical | Length= 1
1094: X= 286 | Y= 444 | Pose= Vertical | Length= 2
1095: X= 286 | Y= 460 | Pose= Vertical | Length= 7
1096: X= 286 | Y= 499 | Pose= Vertical | Length= 2
1097: X= 286 | Y= 506 | Pose= Vertical | Length= 1
1098: X= 286 | Y= 508 | Pose= Vertical | Length= 3
1099: X= 286 | Y= 509 | Pose= Vertical | Length= 3
1100: X= 286 | Y= 515 | Pose= Vertical | Length= 3
1101: X= 286 | Y= 517 | Pose= Vertical | Length= 3
1102: X= 286 | Y= 520 | Pose= Vertical | Length= 2
1103: X= 287 | Y= 343 | Pose= Vertical | Length= 4
1104: X= 287 | Y= 344 | Pose= Vertical | Length= 4
1105: X= 287 | Y= 346 | Pose= Vertical | Length= 5
1106: X= 287 | Y= 443 | Pose= Vertical | Length= 2
1107: X= 287 | Y= 486 | Pose= Vertical | Length= 2
1108: X= 287 | Y= 490 | Pose= Horizontal | Length= 9
1109: X= 287 | Y= 500 | Pose= Horizontal | Length= 6
1110: X= 287 | Y= 507 | Pose= Vertical | Length= 4
1111: X= 287 | Y= 510 | Pose= Vertical | Length= 2
1112: X= 287 | Y= 512 | Pose= Horizontal | Length= 3
1113: X= 287 | Y= 526 | Pose= Vertical | Length= 1
1114: X= 288 | Y= 349 | Pose= Vertical | Length= 3
1115: X= 288 | Y= 350 | Pose= Vertical | Length= 1
1116: X= 288 | Y= 441 | Pose= Vertical | Length= 2
1117: X= 288 | Y= 442 | Pose= Vertical | Length= 1
1118: X= 288 | Y= 485 | Pose= Vertical | Length= 5
1119: X= 288 | Y= 487 | Pose= Horizontal | Length= 4
1120: X= 288 | Y= 505 | Pose= Horizontal | Length= 2
1121: X= 288 | Y= 511 | Pose= Vertical | Length= 6
1122: X= 288 | Y= 512 | Pose= Vertical | Length= 1
1123: X= 288 | Y= 516 | Pose= Vertical | Length= 1
1124: X= 288 | Y= 518 | Pose= Horizontal | Length= 2
1125: X= 288 | Y= 525 | Pose= Vertical | Length= 1
1126: X= 288 | Y= 585 | Pose= Vertical | Length= 4
1127: X= 288 | Y= 586 | Pose= Horizontal | Length= 2
1128: X= 289 | Y= 342 | Pose= Vertical | Length= 3
1129: X= 289 | Y= 345 | Pose= Vertical | Length= 2
1130: X= 289 | Y= 438 | Pose= Vertical | Length= 4
1131: X= 289 | Y= 440 | Pose= Vertical | Length= 3
1132: X= 289 | Y= 470 | Pose= Vertical | Length= 2
1133: X= 289 | Y= 479 | Pose= Vertical | Length= 2
1134: X= 289 | Y= 519 | Pose= Vertical | Length= 3
1135: X= 290 | Y= 347 | Pose= Horizontal | Length= 2
1136: X= 290 | Y= 505 | Pose= Vertical | Length= 5
1137: X= 290 | Y= 506 | Pose= Vertical | Length= 1
1138: X= 291 | Y= 336 | Pose= Vertical | Length= 2
1139: X= 291 | Y= 439 | Pose= Vertical | Length= 1
1140: X= 291 | Y= 466 | Pose= Horizontal | Length= 3
1141: X= 291 | Y= 520 | Pose= Horizontal | Length= 6
1142: X= 291 | Y= 586 | Pose= Horizontal | Length= 2
1143: X= 292 | Y= 334 | Pose= Vertical | Length= 16
1144: X= 292 | Y= 429 | Pose= Vertical | Length= 1
1145: X= 292 | Y= 435 | Pose= Vertical | Length= 3
1146: X= 292 | Y= 436 | Pose= Horizontal | Length= 2
1147: X= 292 | Y= 461 | Pose= Horizontal | Length= 3
1148: X= 292 | Y= 482 | Pose= Horizontal | Length= 3
1149: X= 292 | Y= 510 | Pose= Vertical | Length= 2
1150: X= 292 | Y= 525 | Pose= Vertical | Length= 2
1151: X= 292 | Y= 584 | Pose= Vertical | Length= 1
1152: X= 292 | Y= 587 | Pose= Vertical | Length= 9
1153: X= 293 | Y= 337 | Pose= Vertical | Length= 3
1154: X= 293 | Y= 428 | Pose= Vertical | Length= 3
1155: X= 293 | Y= 463 | Pose= Horizontal | Length= 20
1156: X= 293 | Y= 512 | Pose= Horizontal | Length= 9
1157: X= 293 | Y= 526 | Pose= Vertical | Length= 2
1158: X= 293 | Y= 585 | Pose= Horizontal | Length= 2
1159: X= 294 | Y= 432 | Pose= Vertical | Length= 2
1160: X= 294 | Y= 434 | Pose= Vertical | Length= 3
1161: X= 294 | Y= 506 | Pose= Vertical | Length= 4
1162: X= 294 | Y= 520 | Pose= Vertical | Length= 13
1163: X= 294 | Y= 527 | Pose= Horizontal | Length= 4
1164: X= 294 | Y= 584 | Pose= Vertical | Length= 14
1165: X= 295 | Y= 530 | Pose= Vertical | Length= 2
1166: X= 296 | Y= 433 | Pose= Vertical | Length= 2
1167: X= 296 | Y= 531 | Pose= Vertical | Length= 2
1168: X= 296 | Y= 614 | Pose= Horizontal | Length= 5
1169: X= 297 | Y= 428 | Pose= Vertical | Length= 1
1170: X= 297 | Y= 430 | Pose= Vertical | Length= 3
1171: X= 297 | Y= 431 | Pose= Horizontal | Length= 2
1172: X= 297 | Y= 505 | Pose= Vertical | Length= 2
1173: X= 297 | Y= 532 | Pose= Horizontal | Length= 3
1174: X= 297 | Y= 614 | Pose= Vertical | Length= 3
1175: X= 297 | Y= 618 | Pose= Vertical | Length= 3
1176: X= 298 | Y= 424 | Pose= Vertical | Length= 1
1177: X= 298 | Y= 427 | Pose= Vertical | Length= 1
1178: X= 298 | Y= 504 | Pose= Vertical | Length= 4
1179: X= 298 | Y= 508 | Pose= Horizontal | Length= 4
1180: X= 298 | Y= 534 | Pose= Horizontal | Length= 2
1181: X= 299 | Y= 420 | Pose= Vertical | Length= 4
1182: X= 299 | Y= 421 | Pose= Vertical | Length= 4
1183: X= 299 | Y= 428 | Pose= Vertical | Length= 4
1184: X= 299 | Y= 429 | Pose= Vertical | Length= 1
1185: X= 299 | Y= 511 | Pose= Vertical | Length= 4
1186: X= 299 | Y= 512 | Pose= Horizontal | Length= 3
1187: X= 299 | Y= 535 | Pose= Horizontal | Length= 3
1188: X= 299 | Y= 551 | Pose= Vertical | Length= 3
1189: X= 299 | Y= 552 | Pose= Vertical | Length= 4
1190: X= 299 | Y= 585 | Pose= Horizontal | Length= 2
1191: X= 299 | Y= 615 | Pose= Horizontal | Length= 3
1192: X= 300 | Y= 514 | Pose= Vertical | Length= 3
1193: X= 300 | Y= 537 | Pose= Vertical | Length= 8
1194: X= 300 | Y= 586 | Pose= Vertical | Length= 3
1195: X= 300 | Y= 588 | Pose= Vertical | Length= 13
1196: X= 301 | Y= 505 | Pose= Vertical | Length= 3
1197: X= 301 | Y= 506 | Pose= Vertical | Length= 1
1198: X= 301 | Y= 538 | Pose= Vertical | Length= 2
1199: X= 301 | Y= 539 | Pose= Vertical | Length= 2
1200: X= 302 | Y= 419 | Pose= Vertical | Length= 2
1201: X= 302 | Y= 427 | Pose= Vertical | Length= 2
1202: X= 302 | Y= 512 | Pose= Vertical | Length= 6
1203: X= 302 | Y= 515 | Pose= Vertical | Length= 7
1204: X= 302 | Y= 540 | Pose= Horizontal | Length= 2
1205: X= 302 | Y= 585 | Pose= Vertical | Length= 1
1206: X= 303 | Y= 356 | Pose= Vertical | Length= 1
1207: X= 303 | Y= 423 | Pose= Vertical | Length= 1
1208: X= 303 | Y= 425 | Pose= Vertical | Length= 2
1209: X= 303 | Y= 426 | Pose= Vertical | Length= 1
1210: X= 303 | Y= 506 | Pose= Vertical | Length= 4
1211: X= 303 | Y= 530 | Pose= Vertical | Length= 4
1212: X= 303 | Y= 531 | Pose= Horizontal | Length= 2
1213: X= 303 | Y= 554 | Pose= Horizontal | Length= 3
1214: X= 304 | Y= 335 | Pose= Vertical | Length= 2
1215: X= 304 | Y= 350 | Pose= Vertical | Length= 4
1216: X= 304 | Y= 351 | Pose= Vertical | Length= 2
1217: X= 304 | Y= 417 | Pose= Vertical | Length= 2
1218: X= 304 | Y= 420 | Pose= Vertical | Length= 8
1219: X= 304 | Y= 421 | Pose= Vertical | Length= 5
1220: X= 304 | Y= 424 | Pose= Vertical | Length= 3
1221: X= 304 | Y= 516 | Pose= Vertical | Length= 2
1222: X= 304 | Y= 532 | Pose= Vertical | Length= 7
1223: X= 304 | Y= 551 | Pose= Vertical | Length= 3
1224: X= 304 | Y= 552 | Pose= Vertical | Length= 2
1225: X= 304 | Y= 556 | Pose= Vertical | Length= 2
1226: X= 306 | Y= 348 | Pose= Vertical | Length= 17
1227: X= 306 | Y= 349 | Pose= Vertical | Length= 1
1228: X= 306 | Y= 414 | Pose= Vertical | Length= 2
1229: X= 306 | Y= 418 | Pose= Vertical | Length= 2
1230: X= 306 | Y= 419 | Pose= Vertical | Length= 1
1231: X= 306 | Y= 423 | Pose= Vertical | Length= 3
1232: X= 306 | Y= 507 | Pose= Vertical | Length= 8
1233: X= 306 | Y= 508 | Pose= Horizontal | Length= 3
1234: X= 306 | Y= 521 | Pose= Vertical | Length= 9
1235: X= 306 | Y= 531 | Pose= Vertical | Length= 1
1236: X= 306 | Y= 542 | Pose= Horizontal | Length= 2
1237: X= 307 | Y= 335 | Pose= Vertical | Length= 3
1238: X= 307 | Y= 340 | Pose= Vertical | Length= 1
1239: X= 307 | Y= 351 | Pose= Vertical | Length= 7
1240: X= 307 | Y= 415 | Pose= Horizontal | Length= 2
1241: X= 307 | Y= 508 | Pose= Horizontal | Length= 4
1242: X= 307 | Y= 513 | Pose= Vertical | Length= 4
1243: X= 307 | Y= 533 | Pose= Horizontal | Length= 4
1244: X= 307 | Y= 540 | Pose= Horizontal | Length= 2
1245: X= 308 | Y= 413 | Pose= Vertical | Length= 11
1246: X= 308 | Y= 417 | Pose= Vertical | Length= 3
1247: X= 308 | Y= 422 | Pose= Vertical | Length= 1
1248: X= 308 | Y= 516 | Pose= Vertical | Length= 3
1249: X= 308 | Y= 527 | Pose= Vertical | Length= 5
1250: X= 308 | Y= 528 | Pose= Horizontal | Length= 3
1251: X= 308 | Y= 547 | Pose= Vertical | Length= 1
1252: X= 309 | Y= 336 | Pose= Vertical | Length= 3
1253: X= 309 | Y= 410 | Pose= Vertical | Length= 2
1254: X= 309 | Y= 411 | Pose= Vertical | Length= 2
1255: X= 309 | Y= 414 | Pose= Vertical | Length= 3
1256: X= 309 | Y= 418 | Pose= Vertical | Length= 6
1257: X= 309 | Y= 510 | Pose= Vertical | Length= 5
1258: X= 309 | Y= 517 | Pose= Vertical | Length= 2
1259: X= 309 | Y= 530 | Pose= Vertical | Length= 2
1260: X= 309 | Y= 541 | Pose= Vertical | Length= 2
1261: X= 309 | Y= 542 | Pose= Vertical | Length= 2
1262: X= 310 | Y= 514 | Pose= Horizontal | Length= 2
1263: X= 310 | Y= 522 | Pose= Horizontal | Length= 2
1264: X= 310 | Y= 525 | Pose= Vertical | Length= 3
1265: X= 310 | Y= 526 | Pose= Vertical | Length= 1
1266: X= 310 | Y= 531 | Pose= Vertical | Length= 8
1267: X= 311 | Y= 337 | Pose= Vertical | Length= 7
1268: X= 311 | Y= 347 | Pose= Vertical | Length= 1
1269: X= 311 | Y= 415 | Pose= Horizontal | Length= 2
1270: X= 311 | Y= 419 | Pose= Vertical | Length= 1
1271: X= 311 | Y= 515 | Pose= Vertical | Length= 1
1272: X= 311 | Y= 523 | Pose= Vertical | Length= 2
1273: X= 311 | Y= 528 | Pose= Horizontal | Length= 2
1274: X= 311 | Y= 540 | Pose= Vertical | Length= 1
1275: X= 311 | Y= 543 | Pose= Horizontal | Length= 5
1276: X= 311 | Y= 585 | Pose= Vertical | Length= 7
1277: X= 311 | Y= 586 | Pose= Vertical | Length= 6
1278: X= 312 | Y= 412 | Pose= Vertical | Length= 2
1279: X= 312 | Y= 416 | Pose= Vertical | Length= 3
1280: X= 312 | Y= 522 | Pose= Vertical | Length= 1
1281: X= 312 | Y= 526 | Pose= Vertical | Length= 1
1282: X= 312 | Y= 529 | Pose= Horizontal | Length= 2
1283: X= 312 | Y= 532 | Pose= Horizontal | Length= 3
1284: X= 312 | Y= 541 | Pose= Horizontal | Length= 3
1285: X= 312 | Y= 546 | Pose= Vertical | Length= 2
1286: X= 312 | Y= 589 | Pose= Vertical | Length= 10
1287: X= 313 | Y= 350 | Pose= Vertical | Length= 8
1288: X= 313 | Y= 508 | Pose= Horizontal | Length= 2
1289: X= 313 | Y= 511 | Pose= Vertical | Length= 13
1290: X= 313 | Y= 542 | Pose= Horizontal | Length= 3
1291: X= 313 | Y= 547 | Pose= Vertical | Length= 6
1292: X= 313 | Y= 587 | Pose= Vertical | Length= 1
1293: X= 314 | Y= 340 | Pose= Vertical | Length= 3
1294: X= 314 | Y= 391 | Pose= Vertical | Length= 3
1295: X= 314 | Y= 392 | Pose= Vertical | Length= 2
1296: X= 314 | Y= 399 | Pose= Vertical | Length= 4
1297: X= 314 | Y= 402 | Pose= Vertical | Length= 4
1298: X= 314 | Y= 403 | Pose= Vertical | Length= 5
1299: X= 314 | Y= 405 | Pose= Vertical | Length= 3
1300: X= 314 | Y= 406 | Pose= Vertical | Length= 3
1301: X= 314 | Y= 408 | Pose= Vertical | Length= 4
1302: X= 314 | Y= 417 | Pose= Vertical | Length= 1
1303: X= 314 | Y= 517 | Pose= Horizontal | Length= 4
1304: X= 314 | Y= 544 | Pose= Vertical | Length= 2
1305: X= 315 | Y= 517 | Pose= Vertical | Length= 2
1306: X= 315 | Y= 545 | Pose= Horizontal | Length= 2
1307: X= 316 | Y= 396 | Pose= Horizontal | Length= 2
1308: X= 316 | Y= 400 | Pose= Vertical | Length= 4
1309: X= 316 | Y= 401 | Pose= Vertical | Length= 4
1310: X= 316 | Y= 404 | Pose= Vertical | Length= 1
1311: X= 316 | Y= 407 | Pose= Vertical | Length= 1
1312: X= 316 | Y= 410 | Pose= Horizontal | Length= 3
1313: X= 316 | Y= 509 | Pose= Vertical | Length= 10
1314: X= 316 | Y= 510 | Pose= Vertical | Length= 1
1315: X= 316 | Y= 513 | Pose= Vertical | Length= 9
1316: X= 316 | Y= 514 | Pose= Horizontal | Length= 3
1317: X= 316 | Y= 546 | Pose= Vertical | Length= 1
1318: X= 316 | Y= 587 | Pose= Vertical | Length= 14
1319: X= 317 | Y= 338 | Pose= Horizontal | Length= 2
1320: X= 317 | Y= 355 | Pose= Vertical | Length= 1
1321: X= 317 | Y= 376 | Pose= Vertical | Length= 1
1322: X= 317 | Y= 383 | Pose= Vertical | Length= 1
1323: X= 317 | Y= 393 | Pose= Horizontal | Length= 3
1324: X= 317 | Y= 397 | Pose= Vertical | Length= 1
1325: X= 317 | Y= 409 | Pose= Horizontal | Length= 3
1326: X= 317 | Y= 512 | Pose= Vertical | Length= 1
1327: X= 317 | Y= 532 | Pose= Vertical | Length= 3
1328: X= 317 | Y= 537 | Pose= Vertical | Length= 6
1329: X= 317 | Y= 548 | Pose= Horizontal | Length= 4
1330: X= 317 | Y= 584 | Pose= Vertical | Length= 11
1331: X= 318 | Y= 339 | Pose= Vertical | Length= 5
1332: X= 318 | Y= 340 | Pose= Vertical | Length= 1
1333: X= 318 | Y= 347 | Pose= Vertical | Length= 1
1334: X= 318 | Y= 378 | Pose= Vertical | Length= 2
1335: X= 318 | Y= 382 | Pose= Vertical | Length= 1
1336: X= 318 | Y= 384 | Pose= Horizontal | Length= 3
1337: X= 318 | Y= 404 | Pose= Vertical | Length= 9
1338: X= 318 | Y= 411 | Pose= Horizontal | Length= 2
1339: X= 318 | Y= 536 | Pose= Vertical | Length= 2
1340: X= 318 | Y= 538 | Pose= Horizontal | Length= 3
1341: X= 318 | Y= 546 | Pose= Vertical | Length= 1
1342: X= 318 | Y= 548 | Pose= Horizontal | Length= 3
1343: X= 318 | Y= 588 | Pose= Vertical | Length= 1
1344: X= 319 | Y= 377 | Pose= Vertical | Length= 1
1345: X= 319 | Y= 408 | Pose= Vertical | Length= 5
1346: X= 319 | Y= 409 | Pose= Horizontal | Length= 2
1347: X= 319 | Y= 512 | Pose= Vertical | Length= 1
1348: X= 319 | Y= 533 | Pose= Horizontal | Length= 3
1349: X= 319 | Y= 538 | Pose= Horizontal | Length= 3
1350: X= 319 | Y= 544 | Pose= Vertical | Length= 6
1351: X= 319 | Y= 545 | Pose= Vertical | Length= 2
1352: X= 319 | Y= 548 | Pose= Vertical | Length= 1
1353: X= 320 | Y= 351 | Pose= Vertical | Length= 8
1354: X= 320 | Y= 410 | Pose= Vertical | Length= 4
1355: X= 320 | Y= 540 | Pose= Vertical | Length= 3
1356: X= 320 | Y= 541 | Pose= Vertical | Length= 5
1357: X= 320 | Y= 546 | Pose= Horizontal | Length= 2
1358: X= 320 | Y= 559 | Pose= Vertical | Length= 2
1359: X= 320 | Y= 560 | Pose= Vertical | Length= 2
1360: X= 320 | Y= 588 | Pose= Vertical | Length= 10
1361: X= 321 | Y= 547 | Pose= Vertical | Length= 11
1362: X= 321 | Y= 585 | Pose= Horizontal | Length= 2
1363: X= 321 | Y= 590 | Pose= Vertical | Length= 11
1364: X= 322 | Y= 340 | Pose= Vertical | Length= 3
1365: X= 322 | Y= 349 | Pose= Horizontal | Length= 2
1366: X= 322 | Y= 403 | Pose= Vertical | Length= 3
1367: X= 322 | Y= 405 | Pose= Horizontal | Length= 3
1368: X= 322 | Y= 411 | Pose= Vertical | Length= 3
1369: X= 322 | Y= 412 | Pose= Horizontal | Length= 2
1370: X= 322 | Y= 538 | Pose= Horizontal | Length= 2
1371: X= 323 | Y= 350 | Pose= Vertical | Length= 2
1372: X= 323 | Y= 407 | Pose= Vertical | Length= 4
1373: X= 323 | Y= 409 | Pose= Vertical | Length= 1
1374: X= 323 | Y= 413 | Pose= Vertical | Length= 2
1375: X= 323 | Y= 585 | Pose= Vertical | Length= 2
1376: X= 323 | Y= 586 | Pose= Vertical | Length= 2
1377: X= 324 | Y= 341 | Pose= Vertical | Length= 3
1378: X= 324 | Y= 348 | Pose= Vertical | Length= 4
1379: X= 324 | Y= 349 | Pose= Vertical | Length= 1
1380: X= 324 | Y= 397 | Pose= Vertical | Length= 1
1381: X= 324 | Y= 402 | Pose= Vertical | Length= 4
1382: X= 324 | Y= 412 | Pose= Vertical | Length= 1
1383: X= 324 | Y= 512 | Pose= Vertical | Length= 1
1384: X= 324 | Y= 542 | Pose= Horizontal | Length= 2
1385: X= 325 | Y= 383 | Pose= Horizontal | Length= 6
1386: X= 325 | Y= 405 | Pose= Vertical | Length= 2
1387: X= 325 | Y= 406 | Pose= Vertical | Length= 2
1388: X= 325 | Y= 510 | Pose= Vertical | Length= 1
1389: X= 326 | Y= 340 | Pose= Vertical | Length= 7
1390: X= 326 | Y= 383 | Pose= Horizontal | Length= 6
1391: X= 326 | Y= 403 | Pose= Vertical | Length= 2
1392: X= 326 | Y= 408 | Pose= Horizontal | Length= 2
1393: X= 326 | Y= 536 | Pose= Horizontal | Length= 3
1394: X= 326 | Y= 540 | Pose= Vertical | Length= 10
1395: X= 326 | Y= 541 | Pose= Horizontal | Length= 2
1396: X= 327 | Y= 349 | Pose= Horizontal | Length= 2
1397: X= 327 | Y= 371 | Pose= Horizontal | Length= 6
1398: X= 327 | Y= 393 | Pose= Horizontal | Length= 5
1399: X= 327 | Y= 409 | Pose= Vertical | Length= 2
1400: X= 327 | Y= 511 | Pose= Horizontal | Length= 3
1401: X= 327 | Y= 535 | Pose= Vertical | Length= 4
1402: X= 327 | Y= 536 | Pose= Vertical | Length= 1
1403: X= 327 | Y= 538 | Pose= Vertical | Length= 4
1404: X= 327 | Y= 542 | Pose= Vertical | Length= 3
1405: X= 327 | Y= 583 | Pose= Vertical | Length= 2
1406: X= 328 | Y= 361 | Pose= Horizontal | Length= 2
1407: X= 328 | Y= 383 | Pose= Horizontal | Length= 11
1408: X= 328 | Y= 397 | Pose= Vertical | Length= 2
1409: X= 328 | Y= 408 | Pose= Vertical | Length= 2
1410: X= 328 | Y= 510 | Pose= Vertical | Length= 8
1411: X= 328 | Y= 511 | Pose= Vertical | Length= 1
1412: X= 328 | Y= 513 | Pose= Vertical | Length= 2
1413: X= 328 | Y= 541 | Pose= Vertical | Length= 1
1414: X= 328 | Y= 548 | Pose= Vertical | Length= 4
1415: X= 329 | Y= 341 | Pose= Vertical | Length= 1
1416: X= 329 | Y= 348 | Pose= Horizontal | Length= 2
1417: X= 329 | Y= 373 | Pose= Horizontal | Length= 11
1418: X= 329 | Y= 398 | Pose= Vertical | Length= 2
1419: X= 329 | Y= 404 | Pose= Horizontal | Length= 4
1420: X= 329 | Y= 514 | Pose= Horizontal | Length= 2
1421: X= 329 | Y= 543 | Pose= Horizontal | Length= 4
1422: X= 329 | Y= 589 | Pose= Vertical | Length= 1
1423: X= 330 | Y= 362 | Pose= Horizontal | Length= 12
1424: X= 330 | Y= 399 | Pose= Horizontal | Length= 6
1425: X= 330 | Y= 515 | Pose= Vertical | Length= 4
1426: X= 330 | Y= 536 | Pose= Horizontal | Length= 2
1427: X= 331 | Y= 362 | Pose= Vertical | Length= 4
1428: X= 331 | Y= 591 | Pose= Horizontal | Length= 2
1429: X= 332 | Y= 341 | Pose= Vertical | Length= 10
1430: X= 332 | Y= 549 | Pose= Vertical | Length= 3
1431: X= 332 | Y= 550 | Pose= Vertical | Length= 3
1432: X= 332 | Y= 592 | Pose= Vertical | Length= 8
1433: X= 333 | Y= 513 | Pose= Vertical | Length= 2
1434: X= 333 | Y= 514 | Pose= Vertical | Length= 1
1435: X= 333 | Y= 542 | Pose= Vertical | Length= 4
1436: X= 333 | Y= 543 | Pose= Vertical | Length= 5
1437: X= 333 | Y= 548 | Pose= Vertical | Length= 2
1438: X= 333 | Y= 551 | Pose= Horizontal | Length= 2
1439: X= 333 | Y= 589 | Pose= Vertical | Length= 5
1440: X= 334 | Y= 363 | Pose= Vertical | Length= 9
1441: X= 334 | Y= 512 | Pose= Vertical | Length= 3
1442: X= 335 | Y= 511 | Pose= Vertical | Length= 19
1443: X= 335 | Y= 541 | Pose= Vertical | Length= 3
1444: X= 335 | Y= 547 | Pose= Vertical | Length= 2
1445: X= 336 | Y= 513 | Pose= Vertical | Length= 2
1446: X= 336 | Y= 517 | Pose= Horizontal | Length= 4
1447: X= 337 | Y= 514 | Pose= Horizontal | Length= 4
1448: X= 337 | Y= 520 | Pose= Horizontal | Length= 2
1449: X= 337 | Y= 540 | Pose= Vertical | Length= 7
1450: X= 337 | Y= 549 | Pose= Vertical | Length= 4
1451: X= 337 | Y= 550 | Pose= Vertical | Length= 8
1452: X= 338 | Y= 342 | Pose= Vertical | Length= 1
1453: X= 338 | Y= 521 | Pose= Vertical | Length= 11
1454: X= 339 | Y= 360 | Pose= Vertical | Length= 4
1455: X= 339 | Y= 589 | Pose= Vertical | Length= 13
1456: X= 339 | Y= 590 | Pose= Horizontal | Length= 2
1457: X= 340 | Y= 361 | Pose= Vertical | Length= 7
1458: X= 340 | Y= 541 | Pose= Vertical | Length= 2
1459: X= 340 | Y= 543 | Pose= Vertical | Length= 2
1460: X= 340 | Y= 548 | Pose= Vertical | Length= 3
1461: X= 341 | Y= 340 | Pose= Vertical | Length= 14
1462: X= 341 | Y= 628 | Pose= Horizontal | Length= 14
1463: X= 342 | Y= 343 | Pose= Horizontal | Length= 2
1464: X= 342 | Y= 364 | Pose= Vertical | Length= 8
1465: X= 342 | Y= 537 | Pose= Vertical | Length= 3
1466: X= 342 | Y= 538 | Pose= Horizontal | Length= 2
1467: X= 342 | Y= 549 | Pose= Vertical | Length= 10
1468: X= 342 | Y= 591 | Pose= Vertical | Length= 9
